GameId,DurationSeconds,RoundCount,RedPoints,BluePoints,OrangePoints,WhitePoints
"f905cdf0-4c6a-4a64-be69-cf9e26e7c014",49.9488171,65,11,4,3,5
"f8a196c3-9c31-465e-87de-38097a34761c",81.3006127,134,4,3,3,10
"90459592-bd7c-4fd6-8dfb-e0a9341ee5d7",46.2401913,63,4,3,2,10
"4488632c-cd74-45f3-b1c8-1a651c7d8fec",34.6705159,52,4,10,3,2
"f8576ca3-21e5-4c77-9730-544b0cf2b830",80.0085962,128,10,8,2,5
"ae808771-3856-42a1-96ae-cb0d1493f1db",41.8156505,66,3,11,3,4
"0b9ce3c1-dee0-4b6d-9f46-cfd555ee0d8d",63.7129162,90,3,5,10,4
"f7898600-88ab-4165-96bd-3a8c1f7a5de2",57.5954337,94,10,6,5,3
"f96c6de1-4932-4c66-ba14-c5495de9dfaa",26.3465423,37,5,2,11,2
"4b627fc5-ccdb-4905-9369-b3637bcbb71e",50.0969902,80,2,4,6,10
"bd2b0379-ecc7-4024-960f-c448a5ca8a59",33.3052345,53,3,5,3,10
"6fff5f1e-1c18-415f-a85f-55984f040c31",17.869644,29,2,2,4,10
"112913ea-971e-4be1-9920-00861ef5ec1f",50.7869448,81,4,3,10,3
"f422651e-b80c-43a3-955c-723239d8bfe4",66.3931341,104,7,8,10,6
"94bb0739-7419-4676-8523-08044f9e1422",48.8492861,79,3,2,11,5
"61dc4d2e-8809-472f-b033-98d5d567dde0",40.3414152,62,3,2,2,11
"b7acc5fb-4880-43ed-b4d3-3557c8082d7d",29.7048387,45,6,10,3,2
"191755f1-6353-4c30-8f16-0f84e8b6ea7e",24.1110232,38,10,2,2,3
"ba6e317a-70ec-446f-8bf7-16f80d92b3de",63.2057569,100,9,4,10,4
"4c008b1e-3567-4783-a734-0293a60a027e",67.4153339,106,5,5,10,7
"132123b7-1ef9-4cb1-8865-9c52bd60f105",35.2449149,54,2,10,2,5
"830951af-0902-4635-880d-5ab80d9fb664",29.7035558,46,5,3,4,10
"7612760a-9f5f-4e19-b937-b4d5c6d30fb2",44.1213634,66,9,10,2,6
"8812e453-a7bc-4ff1-8374-04184659e6db",114.1466095,173,7,4,5,10
"967fdcdf-12b2-4afb-a9a0-e32bbec1036f",46.7723741,74,2,11,2,2
